"rank",TIERS,"name",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"3",1,"Jahmyr Gibbs",DET,"RB2","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1"
"4",1,"CeeDee Lamb",DAL,"WR2","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"5",1,"Saquon Barkley",PHI,"RB3","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"6",1,"Justin Jefferson",MIN,"WR3","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"7",2,"Malik Nabers",NYG,"WR4","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4"
"8",2,"Nico Collins",HOU,"WR5","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+4"
"9",2,"Christian McCaffrey",SF,"RB4","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"10",2,"Amon-Ra St. Brown",DET,"WR6","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"11",2,"Derrick Henry",BAL,"RB5","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2"
"12",2,"Puka Nacua",LAR,"WR7","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1"
"13",2,"Ashton Jeanty",LV,"RB6","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3"
"14",2,"Brian Thomas Jr.",JAC,"WR8","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1"
"15",3,"Drake London",ATL,"WR9","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2"
"16",3,"De'Von Achane",MIA,"RB7","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
"17",3,"A.J. Brown",PHI,"WR10","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7"
"18",3,"Brock Bowers",LV,"TE1","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2"
"19",3,"Jonathan Taylor",IND,"RB8","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1"
"20",3,"Josh Jacobs",GB,"RB9","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6"
"21",3,"Bucky Irving",TB,"RB10","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2"
"22",3,"Chase Brown",CIN,"RB11","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0"
